Date,Open,High,Low,Close,adj_close,Volume
6/21/1993,1.446429,1.446429,1.410714,1.415179,0.353031,68395600
6/22/1993,1.459821,1.5,1.419643,1.477679,0.368623,84095200
6/23/1993,1.491071,1.491071,1.428571,1.446429,0.360827,45180800
6/24/1993,1.446429,1.491071,1.428571,1.491071,0.371964,55708800
6/25/1993,1.441964,1.455357,1.410714,1.428571,0.356372,64290800
6/28/1993,1.446429,1.446429,1.383929,1.433036,0.357486,88404400
6/29/1993,1.4375,1.4375,1.375,1.392857,0.347463,73567200
6/30/1993,1.383929,1.419643,1.375,1.410714,0.351918,50064000
7/1/1993,1.392857,1.419643,1.357143,1.357143,0.338554,54541200
7/2/1993,1.366071,1.383929,1.348214,1.375,0.343008,47908000
7/6/1993,1.366071,1.392857,1.339286,1.348214,0.336326,38813600
7/7/1993,1.339286,1.352679,1.294643,1.303571,0.32519,56758800
7/8/1993,1.303571,1.339286,1.294643,1.303571,0.32519,34742400
7/9/1993,1.321429,1.330357,1.303571,1.3125,0.327417,39219600
7/12/1993,1.3125,1.361607,1.294643,1.357143,0.338554,43470000
7/13/1993,1.383929,1.383929,1.321429,1.330357,0.331872,39527600
7/14/1993,1.3125,1.339286,1.276786,1.330357,0.331872,61574800
7/15/1993,1.330357,1.348214,1.258929,1.276786,0.318508,84509600
7/16/1993,1.017857,1.058036,0.946429,0.982143,0.245006,530149200
7/19/1993,1,1.026786,0.910714,0.915179,0.228301,201558000
7/20/1993,0.9375,0.991071,0.919643,0.959821,0.239438,132977600
7/21/1993,0.928571,0.955357,0.910714,0.9375,0.233869,113976800
7/22/1993,0.928571,0.964286,0.919643,0.946429,0.236097,52794000
7/23/1993,0.964286,0.982143,0.928571,0.9375,0.233869,58444400
7/26/1993,0.955357,0.982143,0.928571,0.959821,0.239438,38206000
7/27/1993,0.955357,0.982143,0.9375,0.946429,0.236097,49652400
7/28/1993,0.9375,0.964286,0.9375,0.959821,0.239438,22948800
7/29/1993,0.964286,0.982143,0.955357,0.973214,0.242779,30343600
7/30/1993,0.982143,1.008929,0.964286,0.991071,0.247233,53611600
8/2/1993,1.008929,1.044643,1,1.017857,0.253915,54076400
8/3/1993,1.035714,1.044643,1.026786,1.035714,0.25837,44119600
8/4/1993,1.044643,1.089286,1.035714,1.080357,0.269507,60748800
